osm_id,highway,name,name:de,name:it,short_name
2132486,primary,Via Berlino,,,
16747332,secondary,Via del Ponte,,,
16749234,motorway,Autostrada del Brennero,Brennerautobahn,Autostrada del Brennero,
16749237,motorway,Autostrada del Brennero,Brennerautobahn,Autostrada del Brennero,
16749240,motorway,Autostrada del Brennero,Brennerautobahn,Autostrada del Brennero,
16749242,motorway,Autostrada del Brennero,Brennerautobahn,Autostrada del Brennero,
16759063,trunk,Strada Gardesana di Trento,,,
16759066,motorway,Autostrada del Brennero,Brennerautobahn,Autostrada del Brennero,
16759070,motorway,Autostrada del Brennero,Brennerautobahn,Autostrada del Brennero,
16759073,motorway,Autostrada del Brennero,Brennerautobahn,Autostrada del Brennero,
16759074,motorway,Autostrada del Brennero,Brennerautobahn,Autostrada del Brennero,
18754532,tertiary,Via Ezio Maccani,,,Via Maccani
18754992,trunk,Tangenziale Ovest,,,
22913882,tertiary,Strada Provinciale 71 Fersina - Avisio,,,
22913942,tertiary,Strada della Valsugana,,,
22985081,residential,Salita Filippo Manci,,,
22985969,residential,Piazza di San Donà,,,
22986084,residential,Via Giuseppe Verdi,,,
22986312,residential,Via Galileo Galilei,,,
22986560,pedestrian,Via Paolo Ossimo Mazzurana,,,
22990181,trunk,Strada Statale 47 della Valsugana,,,
22990182,trunk,Strada Statale 47 della Valsugana,,,
22990553,tertiary,Via Fersina - Avisio,,,
23004629,tertiary,Via Mesiano,,,
23004666,secondary,Via Venezia,,,
23007976,tertiary,Via Mesiano,,,
23056771,secondary,Via del Brennero,,,
23058066,tertiary,Via Caduti di Nassirya,,,
23058119,secondary,Via del Brennero,,,
23058125,unclassified,Via Giuseppe Gilli,,,Via Gilli
23058701,residential,Salita Filippo Manci,,,
23058856,residential,Via per l'Osservatorio,,,
23058863,service,Via dei Giardini,,,
23058904,tertiary,Via Torre Vanga,,,
23066740,tertiary,Piazza Dante,,,
23066741,tertiary,Via San Lorenzo,,,
23066966,residential,Via Rodolfo Belenzani,,,Via Belenzani
23209259,residential,Via degli Alberti Poja,,,
23209320,residential,via del Villaggio Satellite,,,
23209337,residential,Via del Villaggio Satellite,,,
23209409,residential,Piazza di San Donà,,,
23209410,residential,Piazza di San Donà,,,
23209479,residential,Via 26 settembre 1959,,,
23209579,residential,Piazza di San Donà,,,
23234595,secondary,Viale Verona,,,
23234597,tertiary,Via Alcide Degasperi,,,Via Degasperi
23298271,unclassified,Via al Vascon,,,
23298272,residential,Via del Villaggio Satellite,,,
23298285,unclassified,Via al Vascon,,,
23302058,secondary,Via Bassano,,,
23302059,secondary,Via Bassano,,,
23356218,unclassified,Via delle Laste,,,
23356717,service,Via per Fontanasanta,,,
23357117,residential,Via alla Pelegrina,,,
23357137,service,Via per Fontanasanta,,,
23541248,trunk,Strada Statale 47 della Valsugana,,,
23541435,trunk_link,Via Bassano,,,
23671966,tertiary,Via alla Pelegrina,,,
23680645,tertiary,Cavalcavia di Martignano,,,
23680758,tertiary,Via Missioni Africane,,,
23680878,tertiary,Via della Cervara,,,
23691829,service,Piazza Dante Alighieri,,,
23733914,secondary,Via Venezia,,,
23751867,residential,Via Calepina,,,
23751933,residential,Via Mantova,,,
23752172,pedestrian,Via Oriola,,,
23762032,residential,Via Calepina,,,
23762228,residential,Via Carlo Dordi,,,
23762376,pedestrian,Piazza Mario Pasi,,,
23762459,residential,Piazza del Duomo,Domplatz,,
23762499,pedestrian,Vicolo dei Dall'Armi,,,
23762614,pedestrian,Galleria Adria,,,
23762693,pedestrian,Piazzetta del Sass,,,
23762742,residential,Largo Giosuè Carducci,,,
23762833,residential,Via Galileo Galilei,,,
23763043,pedestrian,Piazza di Fiera,,,
23763110,secondary,Largo Luigi Pigarelli,,,
23763170,residential,Via Brigata Acqui,,,
23763178,residential,Via Carlo Antonio Pilati,,,
23763189,unclassified,Via dei Paradisi,,,Via Paradisi
23763209,service,Via Giuseppe Grazioli,,,
23763300,pedestrian,Stretta del Duomo,,,
23763416,pedestrian,Via Giuseppe Verdi,,,
23763851,residential,Piazza delle Erbe,,,
23763869,pedestrian,Via Malpaga,,,
23763878,pedestrian,Via Schivabriga,,,
23763892,pedestrian,Passaggio Vittorio Zippel,,,
23763916,residential,Via delle Orfane,,,
23763924,pedestrian,Vicolo Colico,,,
23763968,residential,Piazza Santa Maria Maggiore,,,
23763977,residential,Via Camillo Benso Cavour,,,
23763993,residential,Via Santissima Trinitá,,,
23764020,pedestrian,Vicolo del Capitolo,,,
23794856,tertiary,Via Prepositura,,,
23794918,pedestrian,Via Armando Diaz,,,
23795382,secondary,Via cardinale Bernardo Clesio,,,Via Bernardo Clesio
23795535,secondary,Via Venezia,,,
23795538,tertiary,Via San Lorenzo,,,
23795565,tertiary,Via San Lorenzo,,,
23795568,tertiary,Via Roberto da Sanseverino,,,
23795571,trunk_link,Via Hubert Jedin,,,
23795572,trunk,Tangenziale Ovest,,,
23795601,tertiary,Ponte di San Lorenzo,,,
23795654,residential,Via Dietro le Mura A,,,
23795655,residential,Via degli Orti,,,
23795664,residential,Via senatore Carlo Esterle,,,Via Esterle
23795665,pedestrian,Via senatore Carlo Esterle,,,
23795681,residential,Via senatore Carlo Esterle,,,Via Esterle
23800071,tertiary,Via Dogana,,,
23807827,tertiary,"Via Clorinda Menguzzato ""Veglia""",,,
23807936,secondary,Via Alcide Degasperi,,,
23808052,unclassified,Via Enrico Fermi,,,Via Fermi
23808336,unclassified,Via Alessandro Volta,,,
23809257,unclassified,Via Sommarive,,,
23809281,unclassified,Piazza Giannatonio Manci,,,
23809348,tertiary,Via Don Tommaso Dallafior,,,Via Dallafior
23809374,tertiary,Via per Tavernaro,,,
23809386,unclassified,Piazza dei Predaroi,,,
23809441,tertiary,Via delle Marnighe,,,
23809484,tertiary,Via alla Formigheta,,,
23809489,residential,Via delle Costiole,,,
23814986,residential,Via Giuseppe Verdi,,,
23814996,unclassified,Via Tommaso Gar,,,
23815011,unclassified,Via Tommaso Gar,,,
23854163,unclassified,Via alla Scala,,,
23854200,secondary,Via Livio Druso,,,
23854201,secondary,Ponte San Giorgio,,,
23854473,secondary,Via Felice e Gregorio Fontana,,,
23854590,secondary,Via di Centa,,,
23854591,secondary,Via Francesco Ambrosi,,,
23854594,secondary,Via Francesco Ambrosi,,,
23854595,secondary,Via del Brennero,,,
23854781,tertiary,Lungadige Marco Apuleio,,,
23857969,secondary,Via Alessandro Manzoni,,,
23857970,unclassified,Via Bartolameo da Trento,,,
23858004,secondary,Via del Brennero,,,
23882754,trunk,Strada Gardesana di Trento,,,
23882756,motorway,Autostrada del Brennero,Brennerautobahn,Autostrada del Brennero,
23882760,motorway,Autostrada del Brennero,Brennerautobahn,Autostrada del Brennero,
23882761,motorway,Autostrada del Brennero,Brennerautobahn,Autostrada del Brennero,
23882762,motorway,Autostrada del Brennero,Brennerautobahn,Autostrada del Brennero,
23882763,tertiary,Via Brescia,,,
23882764,tertiary,Via Brescia,,,
23884321,trunk,Tangenziale Ovest,,,
23884323,trunk,Tangenziale Ovest,,,
23884324,trunk,Tangenziale Ovest,,,
23884325,trunk,Tangenziale Ovest,,,
23884551,cycleway,Pista Ciclabile Valle dell'Adige,Etschtalradweg,Pista Ciclabile Valle dell'Adige,
23884552,unclassified,Pista Ciclabile Valle dell'Adige,,,
23888166,tertiary,Via Alcide De Gasperi,,,Via Degasperi
23888167,unclassified,Via Enrico Fermi,,,Via Fermi
23888168,unclassified,Via Fersina,,,
23888170,unclassified,Via Fersina,,,
23888171,service,Via Fersina,,,
23889513,residential,Via Alcide Degasperi,,,
23913960,unclassified,Via la Clarina,,,
23913962,secondary,Viale Verona,,,
23913963,secondary,Viale Verona,,,
23913965,tertiary,Via Alcide Degasperi,,,Via Degasperi
23913966,tertiary,Via Alcide Degasperi,,,Via Degasperi
23913967,tertiary,Via Alcide Degasperi,,,Via Degasperi
23914028,tertiary,Via Alcide Degasperi,,,Via Degasperi
23914029,unclassified,Via Gandhi,,,
23951045,unclassified,Via Antonio Gramsci,,,
23951046,unclassified,Via Antonio Gramsci,,,
23951047,unclassified,Via Luigi Einaudi,,,
23951099,residential,Via Marsala,,,
23951161,secondary,Via Piave,,,
23951162,residential,Via Dietro Le Mura B,,,
23951199,residential,Largo Giosuè Carducci,,,
23951201,residential,Via Mantova,,,
23951237,unclassified,Largo Nazario Sauro,,,
23951662,secondary,Via Felice e Gregorio Fontana,,,
23951665,secondary,Via Livio Druso,,,
23951767,tertiary,Corso Michelangelo Buonarroti,,,
23951768,unclassified,Lungadige Giacomo Leopardi,,,
23951769,tertiary,Via Giovanni Pedrotti,,,
23951806,residential,Via Cristoforo Busetti,,,
23951872,tertiary,Via Ezio Maccani,,,Via Maccani
23951873,tertiary,Via Ezio Maccani,,,Via Maccani
23951874,tertiary,Via Ezio Maccani,,,Via Maccani
23951875,unclassified,Via Antonio Abondi,,,
